Party ;Year;Percentage_of_votes 
FP;2011;NA
FP;2015;NA
FP;2019;NA
EL;1971;NA
EL;1973;NA
EL;1975;NA
EL;1977;NA
EL;1979;NA
EL;1981;NA
EL;1984;NA
EL;1987;NA
EL;1988;NA
EL;1990;1,7
EL;1994;3,1
EL;1998;2,7
EL;2001;2,4
EL;2005;3,4
EL;2007;2,2
EL;2011;6,7
EL;2015;7,8
EL;2019;6,9
